Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
ABBEYBDS,6.5,6.5,--,--,--,,11,"11,957","82,474.50",13-Nov-25
ABCTRANS,4.24,4.24,--,--,--,,37,"161,116","623,860.10",13-Nov-25
ACADEMY,6.75,6.75,--,--,--,,22,"80,486","566,704.75",13-Nov-25
ACCESSCORP,22,22,23.7,22.05,23.3,1.3,843,"16,063,442","371,266,067.20",13-Nov-25
AFRINSURE,0.2,0.2,--,--,--,,0,--,--,13-Nov-25
AFRIPRUD,13.5,13.5,--,--,--,,40,"152,596","2,115,707.40",13-Nov-25
AFROMEDIA,0.24,0.24,--,--,--,,0,--,--,13-Nov-25
AIICO,3.34,3.4,3.67,3.4,3.67,0.33,64,"4,796,593","17,501,064.20",13-Nov-25
AIRTELAFRI,2270,2270,--,--,--,,5,164,"409,508.00",13-Nov-25
ALEX [BLS],7.15,7.15,--,--,--,,3,453,"3,171.00",13-Nov-25
ARADEL,706,706,--,--,--,,335,"274,681","194,487,883.50",13-Nov-25
ASOSAVINGS,0.86,0.86,0.94,0.86,0.94,0.08,138,"8,454,616","7,866,972.50",13-Nov-25
AUSTINLAZ,2.61,2.61,--,--,--,,16,"102,156","243,348.16",13-Nov-25
AVAIF,1000000,1000000,--,--,--,,0,--,--,13-Nov-25
BAPLC,6.25,6.25,--,--,--,,0,--,--,13-Nov-25
BERGER,35.6,35.6,--,--,--,,23,"24,989","924,409.10",13-Nov-25
BETAGLAS,370,370,--,--,--,,277,"247,868","83,580,200.50",13-Nov-25
BUACEMENT,162,162,--,--,--,,306,"90,846","14,509,861.60",13-Nov-25
BUAFOODS,692.5,692.5,--,--,--,,221,"15,233","9,750,699.10",13-Nov-25
CADBURY,56.3,56.3,58.95,58.95,58.95,2.65,144,"516,979","29,680,141.85",13-Nov-25
CAP,73,73,--,--,--,,15,930,"66,586.70",13-Nov-25
CAVERTON,4.7,4.7,4.9,4.9,4.9,0.2,52,"590,911","2,995,494.65",13-Nov-25
CHAMPION,13.8,13.8,--,--,--,,57,"143,044","1,982,135.45",13-Nov-25
CHAMS,3.16,3.16,3.39,3.05,3.39,0.23,141,"3,924,878","12,378,628.68",13-Nov-25
CHELLARAM,16.25,16.25,--,--,--,,19,"17,076","266,478.75",13-Nov-25
CILEASING,5.3,5.3,--,--,--,,20,"101,191","520,260.70",13-Nov-25
CNIF,100,100,--,--,--,,1,50,"5,005.00",13-Nov-25
CONHALLPLC,4.42,4.42,--,--,--,,38,"292,859","1,298,329.76",13-Nov-25
CONOIL,190.7,190.7,--,--,--,,26,"7,125","1,281,062.40",13-Nov-25
CORNERST,5.79,5.79,--,--,--,,13,"37,083","224,455.81",13-Nov-25
CUSTODIAN,35,35,38.5,38.5,38.5,3.5,98,"839,695","32,265,385.95",13-Nov-25
CUTIX,3.1,3.1,3.25,3.15,3.25,0.15,67,"1,541,838","4,930,080.46",13-Nov-25
CWG,15.45,15.45,16.85,15.5,16.85,1.4,96,"1,548,922","25,752,610.85",13-Nov-25
